flukeys,en,id,ar
lokasi,location,Lokasi,موقع
harga,price,harga,سعر
berat,heavy,berat,ثقيل
Tambah Data,Add data,Tambahkan data,إضافة البيانات
HAPUS,DELETE,MENGHAPUS,حذف
Anda yakin akan menghapus barang,You are sure you will delete items,Anda yakin Anda akan menghapus item,أنت متأكد من أنك ستحذف العناصر
BATAL,CANCELLED,DIBATALKAN,ألغيت
Provinsi Asal,Province of origin,Provinsi Asal,مقاطعة الأصل
Kota Asal,Hometown,Kampung halaman,مسقط رأس
Provinsi Tujuan,Destination Province,Provinsi tujuan,المقاطعة المقصد
Kota Tujuan,Destination city,Kota tujuan,المدينة الوجهة
pilih kurir,Choose a courier,Pilih kurir,اختر ساعيًا